tag_a,tag_b,n_a,n_b,n_both,reach,demand_both,max_ccu,best_game,avg_rating,best_url
garden,grow,36,202,21,217,574956,508703,Grow a Garden 2,86.6,https://www.roblox.com/games/97598239454123
garden,harvest,36,17,3,50,508847,508703,Grow a Garden 2,68.3,https://www.roblox.com/games/97598239454123
garden,plant,36,55,28,63,580697,508703,Grow a Garden 2,85.8,https://www.roblox.com/games/97598239454123
garden,sell,36,96,3,129,508757,508703,Grow a Garden 2,94.4,https://www.roblox.com/games/97598239454123
garden,steal,36,94,5,125,508773,508703,Grow a Garden 2,94.5,https://www.roblox.com/games/97598239454123
grow,harvest,202,17,11,208,550305,508703,Grow a Garden 2,78.3,https://www.roblox.com/games/97598239454123
grow,plant,202,55,35,222,618164,508703,Grow a Garden 2,89.7,https://www.roblox.com/games/97598239454123
grow,sell,202,96,24,274,556302,508703,Grow a Garden 2,86.8,https://www.roblox.com/games/97598239454123
grow,steal,202,94,11,285,511036,508703,Grow a Garden 2,85.9,https://www.roblox.com/games/97598239454123
harvest,plant,17,55,8,64,550031,508703,Grow a Garden 2,78.1,https://www.roblox.com/games/97598239454123
harvest,sell,17,96,5,108,549884,508703,Grow a Garden 2,85.8,https://www.roblox.com/games/97598239454123
harvest,steal,17,94,2,109,508943,508703,Grow a Garden 2,92.9,https://www.roblox.com/games/97598239454123
plant,sell,55,96,9,142,550011,508703,Grow a Garden 2,89.3,https://www.roblox.com/games/97598239454123
plant,steal,55,94,5,144,508773,508703,Grow a Garden 2,94.5,https://www.roblox.com/games/97598239454123
sell,steal,96,94,7,183,509440,508703,Grow a Garden 2,93.2,https://www.roblox.com/games/97598239454123
city,drive,85,76,15,146,514061,493555,Brookhaven 🏡RP,79.8,https://www.roblox.com/games/4924922222
city,genre:Life,85,72,16,141,548549,493555,Brookhaven 🏡RP,87.0,https://www.roblox.com/games/4924922222
drive,genre:Life,76,72,12,136,516256,493555,Brookhaven 🏡RP,85.4,https://www.roblox.com/games/4924922222
build,collect,372,402,54,720,317001,250698,[🪶] Adopt Me!,85.7,https://www.roblox.com/games/920587237
build,genre:Pet Care,372,9,3,378,258188,250698,[🪶] Adopt Me!,91.3,https://www.roblox.com/games/920587237
build,pet,372,222,28,566,300533,250698,[🪶] Adopt Me!,82.5,https://www.roblox.com/games/920587237
build,trade,372,65,8,429,252575,250698,[🪶] Adopt Me!,89.3,https://www.roblox.com/games/920587237
collect,genre:Pet Care,402,9,3,408,258188,250698,[🪶] Adopt Me!,91.3,https://www.roblox.com/games/920587237
collect,pet,402,222,96,528,564670,250698,[🪶] Adopt Me!,89.6,https://www.roblox.com/games/920587237
collect,trade,402,65,25,442,279470,250698,[🪶] Adopt Me!,86.9,https://www.roblox.com/games/920587237
genre:Pet Care,trade,9,65,1,73,250698,250698,[🪶] Adopt Me!,86.0,https://www.roblox.com/games/920587237
pet,trade,222,65,13,274,259287,250698,[🪶] Adopt Me!,88.3,https://www.roblox.com/games/920587237
candy,chocolate,35,27,6,56,251428,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,88.7,https://www.roblox.com/games/95082159892680
candy,escape,35,226,11,250,249058,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,75.3,https://www.roblox.com/games/95082159892680
candy,genre:Incremental Simulator,35,512,6,541,248757,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,94.6,https://www.roblox.com/games/95082159892680
candy,jump,35,151,4,182,242167,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,66.8,https://www.roblox.com/games/95082159892680
candy,race,35,92,5,122,248675,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,86.3,https://www.roblox.com/games/95082159892680
candy,run,35,222,7,250,251535,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,70.6,https://www.roblox.com/games/95082159892680
candy,speed,35,176,7,204,248688,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,85.7,https://www.roblox.com/games/95082159892680
candy,train,35,185,3,217,248659,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.8,https://www.roblox.com/games/95082159892680
chocolate,escape,27,226,3,250,242178,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,92.0,https://www.roblox.com/games/95082159892680
chocolate,genre:Incremental Simulator,27,512,2,537,242144,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,92.3,https://www.roblox.com/games/95082159892680
chocolate,jump,27,151,6,172,242281,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,84.4,https://www.roblox.com/games/95082159892680
chocolate,race,27,92,3,116,242178,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,92.0,https://www.roblox.com/games/95082159892680
chocolate,run,27,222,5,244,251512,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,84.4,https://www.roblox.com/games/95082159892680
chocolate,speed,27,176,3,200,242178,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,92.0,https://www.roblox.com/games/95082159892680
chocolate,train,27,185,2,210,242167,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,94.8,https://www.roblox.com/games/95082159892680
escape,genre:Incremental Simulator,226,512,48,690,312920,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,91.4,https://www.roblox.com/games/95082159892680
escape,jump,226,151,23,354,270022,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,81.3,https://www.roblox.com/games/95082159892680
escape,race,226,92,17,301,273842,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,87.4,https://www.roblox.com/games/95082159892680
escape,run,226,222,47,401,350857,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,80.5,https://www.roblox.com/games/95082159892680
escape,speed,226,176,39,363,318491,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.2,https://www.roblox.com/games/95082159892680
escape,train,226,185,26,385,274535,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.8,https://www.roblox.com/games/95082159892680
genre:Incremental Simulator,jump,512,151,30,633,280664,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,89.0,https://www.roblox.com/games/95082159892680
genre:Incremental Simulator,race,512,92,43,561,289965,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.2,https://www.roblox.com/games/95082159892680
genre:Incremental Simulator,run,512,222,33,701,286980,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,89.9,https://www.roblox.com/games/95082159892680
genre:Incremental Simulator,speed,512,176,95,593,356526,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,91.1,https://www.roblox.com/games/95082159892680
genre:Incremental Simulator,train,512,185,95,602,354029,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.2,https://www.roblox.com/games/95082159892680
jump,race,151,92,13,230,256587,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,80.6,https://www.roblox.com/games/95082159892680
jump,run,151,222,32,341,258711,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,75.4,https://www.roblox.com/games/95082159892680
jump,speed,151,176,24,303,270576,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,81.1,https://www.roblox.com/games/95082159892680
jump,train,151,185,9,327,257410,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,94.5,https://www.roblox.com/games/95082159892680
race,run,92,222,17,297,268412,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,87.8,https://www.roblox.com/games/95082159892680
race,speed,92,176,32,236,285991,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,90.6,https://www.roblox.com/games/95082159892680
race,train,92,185,20,257,269658,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,95.7,https://www.roblox.com/games/95082159892680
run,speed,222,176,30,368,278699,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,88.2,https://www.roblox.com/games/95082159892680
run,train,222,185,15,392,328896,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.9,https://www.roblox.com/games/95082159892680
speed,train,176,185,33,328,286933,242133,[UPD] +1 Speed Keyboard Escape | Candy & Chocolate,93.7,https://www.roblox.com/games/95082159892680
battle,blox,139,19,2,156,226845,218638,Blox Fruits,92.9,https://www.roblox.com/games/2753915549
battle,fight,139,223,41,321,285416,218638,Blox Fruits,85.3,https://www.roblox.com/games/2753915549
battle,fruit,139,56,6,189,227130,218638,Blox Fruits,82.8,https://www.roblox.com/games/2753915549
battle,genre:Action RPG,139,36,4,171,249212,218638,Blox Fruits,92.3,https://www.roblox.com/games/2753915549
battle,ocean,139,40,3,176,218766,218638,Blox Fruits,94.7,https://www.roblox.com/games/2753915549
battle,train,139,185,9,315,234944,218638,Blox Fruits,91.5,https://www.roblox.com/games/2753915549
blox,fight,19,223,2,240,218641,218638,Blox Fruits,86.5,https://www.roblox.com/games/2753915549
blox,fruit,19,56,7,68,218706,218638,Blox Fruits,76.6,https://www.roblox.com/games/2753915549
blox,genre:Action RPG,19,36,4,51,224718,218638,Blox Fruits,83.3,https://www.roblox.com/games/2753915549
blox,ocean,19,40,1,58,218638,218638,Blox Fruits,92.1,https://www.roblox.com/games/2753915549
blox,train,19,185,1,203,218638,218638,Blox Fruits,92.1,https://www.roblox.com/games/2753915549
fight,fruit,223,56,6,273,226937,218638,Blox Fruits,85.8,https://www.roblox.com/games/2753915549
fight,genre:Action RPG,223,36,7,252,269456,218638,Blox Fruits,92.2,https://www.roblox.com/games/2753915549
fight,ocean,223,40,3,260,218865,218638,Blox Fruits,87.0,https://www.roblox.com/games/2753915549
fight,train,223,185,22,386,325241,218638,Blox Fruits,91.1,https://www.roblox.com/games/2753915549
fruit,genre:Action RPG,56,36,14,78,229944,218638,Blox Fruits,85.2,https://www.roblox.com/games/2753915549
fruit,ocean,56,40,1,95,218638,218638,Blox Fruits,92.1,https://www.roblox.com/games/2753915549
fruit,train,56,185,10,231,228641,218638,Blox Fruits,89.5,https://www.roblox.com/games/2753915549
genre:Action RPG,ocean,36,40,1,75,218638,218638,Blox Fruits,92.1,https://www.roblox.com/games/2753915549
genre:Action RPG,train,36,185,7,214,256454,218638,Blox Fruits,85.2,https://www.roblox.com/games/2753915549
ocean,train,40,185,2,223,218643,218638,Blox Fruits,92.4,https://www.roblox.com/games/2753915549
escape,genre:Battlegrounds & Fighting,226,131,3,354,165677,165314,[BLACK DEATH] Jujutsu Shenanigans,72.6,https://www.roblox.com/games/9391468976
brainrot,genre:Tycoon,131,451,80,502,368775,161527,Steal a Brainrot,87.5,https://www.roblox.com/games/109983668079237
brainrot,rebirth,131,170,16,285,162211,161527,Steal a Brainrot,86.3,https://www.roblox.com/games/109983668079237
brainrot,steal,131,94,19,206,178552,161527,Steal a Brainrot,84.0,https://www.roblox.com/games/109983668079237
